Quantity,Designator,Comment,Footprint,Description
1,R152,1k,0402_[1005]_Res_small,Resistor
1,R153,NP,0402_[1005]_Res_small,Resistor
1,R154,22R,0402_[1005]_Res_small,Resistor
1,R155,22R,0402_[1005]_Res_small,Resistor
1,R156,22R,0402_[1005]_Res_small,Resistor
1,R157,22R,0402_[1005]_Res_small,Resistor
1,R158,NP,0402_[1005]_Res_small,Resistor
1,R159,22R,0402_[1005]_Res_small,Resistor
1,R160,22R,0402_[1005]_Res_small,Resistor
1,R161,1k,0402_[1005]_Res_small,Resistor
1,R162,22R,0402_[1005]_Res_small,Resistor
1,R163,22R,0402_[1005]_Res_small,Resistor
1,R164,22R,0402_[1005]_Res_small,Resistor
1,R165,22R,0402_[1005]_Res_small,Resistor
1,R166,22R,0402_[1005]_Res_small,Resistor
1,R167,22R,0402_[1005]_Res_small,Resistor
1,R168,22R,0402_[1005]_Res_small,Resistor
1,R169,NP,0402_[1005]_Res_small,Resistor
1,R170,NP,0402_[1005]_Res_small,Resistor
1,R171,1k,0402_[1005]_Res_small,Resistor
1,R172,NP,0402_[1005]_Res_small,Resistor
1,R173,NP,0402_[1005]_Res_small,Resistor
1,R174,NP,0402_[1005]_Res_small,Resistor
1,R175,NP,0402_[1005]_Res_small,Resistor
1,R176,NP,0402_[1005]_Res_small,Resistor
1,R177,NP,0402_[1005]_Res_small,Resistor
1,R178,NP,0402_[1005]_Res_small,Resistor
1,R179,1k,0402_[1005]_Res_small,Resistor
1,R180,NP,0402_[1005]_Res_small,Resistor
1,R181,NP,0402_[1005]_Res_small,Resistor
1,R182,NP,0402_[1005]_Res_small,Resistor
1,R183,1k,0402_[1005]_Res_small,Resistor
1,R184,1k,0402_[1005]_Res_small,Resistor
1,R185,NP,0402_[1005]_Res_small,Resistor
1,R186,NP,0402_[1005]_Res_small,Resistor
1,R187,NP,0402_[1005]_Res_small,Resistor
1,R188,22R,0402_[1005]_Res_small,Resistor
1,R189,100R 1%,0402_[1005]_Res_small,Resistor
1,R190,22R,0402_[1005]_Res_small,Resistor
1,R191,22R,0402_[1005]_Res_small,Resistor
1,R192,22R,0402_[1005]_Res_small,Resistor
1,R193,22R,0402_[1005]_Res_small,Resistor
1,R194,22R,0402_[1005]_Res_small,Resistor
1,R195,NP,0402_[1005]_Res_small,Resistor
1,R196,22R,0402_[1005]_Res_small,Resistor
1,R197,0R,0402_[1005]_Res_small,Resistor
1,R198,22R,0402_[1005]_Res_small,Resistor
1,R199,NP,0402_[1005]_Res_small,Resistor
1,R200,22R,0402_[1005]_Res_small,Resistor
1,R201,10k,0402_[1005]_Res_small,Resistor
1,R202,22R,0402_[1005]_Res_small,Resistor
1,R203,22R,0402_[1005]_Res_small,Resistor
1,R204,22R,0402_[1005]_Res_small,Resistor
1,R205,22R,0402_[1005]_Res_small,Resistor
1,R206,22R,0402_[1005]_Res_small,Resistor
1,R207,22R,0402_[1005]_Res_small,Resistor
1,R208,22R,0402_[1005]_Res_small,Resistor
1,R209,NP,0402_[1005]_Res_small,Resistor
1,R210,NP,0402_[1005]_Res_small,Resistor
1,R211,NP,0402_[1005]_Res_small,Resistor
1,R212,NP,0402_[1005]_Res_small,Resistor
1,R213,NP,0402_[1005]_Res_small,Resistor
1,R214,NP,0402_[1005]_Res_small,Resistor
1,R215,NP,0402_[1005]_Res_small,Resistor
1,R216,NP,0402_[1005]_Res_small,Resistor
1,R217,NP,0402_[1005]_Res_small,Resistor
1,R218,NP,0402_[1005]_Res_small,Resistor
1,R219,NP,0402_[1005]_Res_small,Resistor
1,R220,NP,0402_[1005]_Res_small,Resistor
1,R221,NP,0402_[1005]_Res_small,Resistor
1,R222,NP,0402_[1005]_Res_small,Resistor
1,R223,NP,0402_[1005]_Res_small,Resistor
1,R224,NP,0402_[1005]_Res_small,Resistor
1,R225,NP,0201_[0603]_RES_SMALL,Resistor
1,R226,10k,0402_[1005]_Res_small,Resistor
1,R227,10k,0402_[1005]_Res_small,Resistor
1,R228,10k,0201_[0603]_RES_SMALL,Resistor
1,R229,10k,0201_[0603]_RES_SMALL,Resistor
1,R230,10k,0201_[0603]_RES_SMALL,Resistor
1,R231,10k,0201_[0603]_RES_SMALL,Resistor
1,R232,10k,0201_[0603]_RES_SMALL,Resistor
1,R233,10k,0201_[0603]_RES_SMALL,Resistor
1,R234,10k,0201_[0603]_RES_SMALL,Resistor
1,R235,10k,0201_[0603]_RES_SMALL,Resistor
1,R236,220R,0201_[0603]_RES_SMALL,Resistor
1,R237,22R,0201_[0603]_RES_SMALL,Resistor
1,R238,10k,0201_[0603]_RES_SMALL,Resistor
1,R239,22R,0201_[0603]_RES_SMALL,Resistor
1,R240,22R,0201_[0603]_RES_SMALL,Resistor
1,R241,22R,0201_[0603]_RES_SMALL,Resistor
1,R242,22R,0201_[0603]_RES_SMALL,Resistor
1,R243,22R,0201_[0603]_RES_SMALL,Resistor
1,R244,22R,0201_[0603]_RES_SMALL,Resistor
1,R245,22R,0201_[0603]_RES_SMALL,Resistor
1,R246,22R,0201_[0603]_RES_SMALL,Resistor
1,R247,4k7,0603_[1608],Resistor
1,SW1,IP SEL L,rotary_switch_vert,SMD Rotary Switch 10x10mm 2.54mm
1,SW2,IP SEL H,rotary_switch_vert,SMD Rotary Switch 10x10mm 2.54mm
1,U1,NP,QFN50P300X300X80_HS-11N,PoE+ Inteface 802.3af/at (MAX5969BETB+)
1,U2,TPS2378DDA,SOIC8_PAD,PoE+ Inteface 802.3af/at
1,U3,MIC28514T-E/PHA,QFN65P600X600X90_HS-33N,Voltage Regulator DC-DC Buck  Synchronous 5A
1,U4,MCP1824T-ADJE/OT,SOT-23-5,Voltage Regualtor LDO Adjustable (LDCL015MR;)
1,U5,MP2147GD,QFN50P200X300X100_HS-13N,Voltage Regulator DC-DC Buck 4A
1,U6,MP2147GD,QFN50P200X300X100_HS-13N,Voltage Regulator DC-DC Buck 4A
1,U7,UM805SE,SOT-143,Reset Monitor Open-drain Vth=2.93V (ST STM6315SDW1;)
1,U8,MC34PF4210A1ES,QFN50P800X800X90_HS-57N,Power Management Integrated Circuit
1,U9,MIMX8MQ6CVAHZAA,BGA621_0.65x0.43MM17x17MM,MIMX8MQ6CVAHZAA
1,U10,MTFC4GACAJCN-1M WT,BGA153_0.5MM_11.5x13MM,MTFC4GACAJCN-1M WT
1,U11,32.768kHz Oscillator,CRYSTAL_3.2X1.5MM_4P_SMD,32.768kHz Oscillator (EPSON  X1B0002110001 SG-3030CM; Abracom ASH7K-32.768KHz-T))
1,U12,UM805SE,SOT-143,Reset Monitor Open-drain Vth=2.93V (ST STM6315SDW1;)
1,U13,MT53B256M32D1NP-062 WT:C,BGA200_0.65X0.8MM10.1X14.6MM,MT53B256M32D1NP-062 WT:C
1,U14,AR8031-AL1A,QFN40P600X600X75_HS-49N,Ethernet phy 10/100/1000G-BIT  Broadcom
1,Y1,25MHz,CRYSTAL_3.2X2.5MM_4P_SMD,Cristal 25MHZ 20ppm 18pF
1,Y2,NP,CRYSTAL_3.2X2.5MM_4P_SMD,Cristal 27MHZ 20ppm 18pF
1,Y3,25MHz,CRYSTAL_3.2X2.5MM_4P_SMD,Cristal 25MHZ 20ppm 18pF
